site,age_smoothed_ka,sea_level_smoothed_m,
846 Liseicki,15380,16.5,
846 Liseicki,15400,16.5,
846 Liseicki,15420,16.8,
846 Liseicki,15440,17.2,
846 Liseicki,15460,17.7,
846 Liseicki,15480,18.3,
846 Liseicki,15500,18.7,
846 Liseicki,15520,18.8,
846 Liseicki,15540,18.7,
846 Liseicki,15560,18.2,
846 Liseicki,15580,17.4,
846 Liseicki,15600,16.3,
846 Liseicki,15620,15.1,
846 Liseicki,15640,13.7,
846 Liseicki,15660,12.3,
846 Liseicki,15680,11.0,
846 Liseicki,15700,9.9,
846 Liseicki,15720,9.0,
846 Liseicki,15740,8.3,
846 Liseicki,15760,7.9,
846 Liseicki,15780,7.8,
846 Liseicki,15800,7.9,
846 Liseicki,15820,8.3,
846 Liseicki,15840,9.0,
846 Liseicki,15860,10.1,
846 Liseicki,15880,11.4,
846 Liseicki,15900,13.1,
846 Liseicki,15920,14.9,
846 Liseicki,15940,16.9,
846 Liseicki,15960,18.9,
846 Liseicki,15980,20.7,
846 Liseicki,16000,22.4,
846 Liseicki,16020,23.9,
846 Liseicki,16040,25.0,
846 Liseicki,16060,25.9,
846 Liseicki,16080,26.5,
846 Liseicki,16100,26.9,
846 Liseicki,16120,27.1,
846 Liseicki,16140,27.3,
846 Liseicki,16160,27.4,
846 Liseicki,16180,27.5,
846 Liseicki,16200,27.6,
846 Liseicki,16220,27.7,
846 Liseicki,16240,27.9,
846 Liseicki,16260,28.2,
846 Liseicki,16280,28.5,
846 Liseicki,16300,28.8,
846 Liseicki,16320,29.1,
846 Liseicki,16340,29.4,
846 Liseicki,16360,29.6,
846 Liseicki,16380,29.7,
846 Liseicki,16400,29.8,
846 Liseicki,16420,29.7,
846 Liseicki,16440,29.5,
846 Liseicki,16460,29.1,
846 Liseicki,16480,28.6,
846 Liseicki,16500,28.0,
846 Liseicki,16520,27.4,
846 Liseicki,16540,26.7,
846 Liseicki,16560,26.1,
846 Liseicki,16580,25.5,
846 Liseicki,16600,25.0,
846 Liseicki,16620,24.5,
846 Liseicki,16640,24.2,
846 Liseicki,16660,24.0,
846 Liseicki,16680,23.8,
846 Liseicki,16700,23.7,
846 Liseicki,16720,23.6,
846 Liseicki,16740,23.5,
846 Liseicki,16760,23.3,
846 Liseicki,16780,23.0,
846 Liseicki,16800,22.5,
846 Liseicki,16820,21.8,
846 Liseicki,16840,20.8,
846 Liseicki,16860,19.6,
846 Liseicki,16880,18.0,
846 Liseicki,16900,16.2,
846 Liseicki,16920,14.2,
846 Liseicki,16940,12.1,
846 Liseicki,16960,10.0,
846 Liseicki,16980,7.9,
846 Liseicki,17000,6.0,
846 Liseicki,17020,4.3,
846 Liseicki,17040,2.9,
846 Liseicki,17060,1.8,
846 Liseicki,17080,0.8,
846 Liseicki,17100,0.1,
846 Liseicki,17120,-0.5,
846 Liseicki,17140,-0.9,
846 Liseicki,17160,-1.3,
846 Liseicki,17180,-1.5,
846 Liseicki,17200,-1.6,
846 Liseicki,17220,-1.6,
846 Liseicki,17240,-1.6,
846 Liseicki,17260,-1.4,
846 Liseicki,17280,-1.3,
846 Liseicki,17300,-1.1,
846 Liseicki,17320,-0.9,
846 Liseicki,17340,-0.8,
846 Liseicki,17360,-0.6,
846 Liseicki,17380,-0.5,
846 Liseicki,17400,-0.3,
846 Liseicki,17420,-0.1,
846 Liseicki,17440,0.2,
846 Liseicki,17460,0.5,
846 Liseicki,17480,0.9,
846 Liseicki,17500,1.3,
846 Liseicki,17520,1.8,
846 Liseicki,17540,2.4,
846 Liseicki,17560,3.0,
846 Liseicki,17580,3.5,
846 Liseicki,17600,4.0,
846 Liseicki,17620,4.4,
846 Liseicki,17640,4.6,
846 Liseicki,17660,4.7,
846 Liseicki,17680,4.7,
846 Liseicki,17700,4.4,
846 Liseicki,17720,4.1,
846 Liseicki,17740,3.5,
846 Liseicki,17760,2.9,
846 Liseicki,17780,2.2,
846 Liseicki,17800,1.5,
846 Liseicki,17820,0.8,
846 Liseicki,17840,0.2,
846 Liseicki,17860,-0.3,
846 Liseicki,17880,-0.6,
846 Liseicki,17900,-0.7,
846 Liseicki,17920,-0.6,
846 Liseicki,17940,-0.2,
846 Liseicki,17960,0.3,
846 Liseicki,17980,0.8,
